hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
50, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
51, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
52, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
53, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
54, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
55, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
56, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
57, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
58, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
59, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
60, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
61, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
62, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
63, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
64, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
65, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
66, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
67, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
68, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
69, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
70, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
71, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
72, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
73, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
74, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
75, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
76, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
77, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
78, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
79, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
80, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
81, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
82, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
83, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
84, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
85, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
86, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
87, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
88, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
89, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
90, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
91, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
92, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
93, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
94, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
95, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
96, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
97, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
98, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
99, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
100, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
101, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
102, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
103, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
104, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
105, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
106, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
107, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
108, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
109, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
110, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
111, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
112, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
113, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
114, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
115, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
116, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
117, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
118, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
119, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
120, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
121, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
122, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
123, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
124, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
125, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
126, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
127, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
128, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
129, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
130, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
131, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
132, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
133, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
134, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
135, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
136, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
137, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
138, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
139, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
140, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
141, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
142, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
143, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
144, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
145, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
146, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
147, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
148, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
149, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
150, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
151, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
152, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
153, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
154, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
155, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
156, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
157, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
158, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
159, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
160, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
161, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
162, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
163, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
164, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
165, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
166, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
167, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
168, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
169, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
170, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
171, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
172, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
173, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
174, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
175, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
176, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
177, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
178, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
179, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
180, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
181, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
182, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
183, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
184, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
185, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
186, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
187, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
188, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
189, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
190, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
191, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
192, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
193, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
194, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
195, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
196, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
197, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
198, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
199, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
200, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
201, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
202, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
203, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
204, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
205, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
206, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
207, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
208, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
209, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
210, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
211, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
212, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
213, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
214, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
215, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
216, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
217, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
218, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
219, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
220, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
221, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
222, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
223, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
224, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
225, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
226, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
227, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
228, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
229, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
230, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
231, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
232, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
233, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
234, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
235, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
236, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
237, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
238, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
239, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
240, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
241, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
242, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
243, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
244, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
245, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
246, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
247, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
248, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
249, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
250, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
251, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
252, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
253, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
254, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
255, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
256, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
257, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
258, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
259, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
260, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
261, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
262, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
263, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
264, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
265, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
266, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
267, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
268, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
269, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
270, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
271, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
272, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
273, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
274, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
275, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
276, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
277, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
278, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
279, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
280, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
281, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
282, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
283, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
284, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
285, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
286, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
287, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
288, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
289, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
290, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
291, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
292, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
293, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
294, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
295, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
296, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
297, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
298, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
299, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
300, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
301, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
302, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
303, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
304, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
305, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
306, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
307, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
308, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
309, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
310, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
311, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
312, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
313, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
314, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
315, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
316, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
317, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
318, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
319, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
320, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
321, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
322, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
323, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
324, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
325, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
326, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
327, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
328, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
329, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
330, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
331, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
332, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
333, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
334, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
335, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
336, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
337, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
338, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
339, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
340, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
341, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
342, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
343, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
344, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
345, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
346, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
347, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
348, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
349, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
350, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
351, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
352, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
353, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
